student_id,畢業年度,班級_標準,座號,報考群類,模1_國文分數,模1_國文級分,模1_英文分數,模1_英文級分,模1_數學分數,模1_數學級分,模1_專一分數,模1_專一級分,模1_專二分數,模1_專二級分,模1_總分數,模1_總分級分,模1_轉換統測分數,模1_跨校排名,模2_國文分數,模2_國文級分,模2_英文分數,模2_英文級分,模2_數學分數,模2_數學級分,模2_專一分數,模2_專一級分,模2_專二分數,模2_專二級分,模2_總分數,模2_總分級分,模2_班級排名,模2_類別排名,模2_跨校排名,模2_轉換統測分數,模3_國文分數,模3_國文級分,模3_英文分數,模3_英文級分,模3_數學分數,模3_數學級分,模3_專一分數,模3_專一級分,模3_專二分數,模3_專二級分,模3_總分數,模3_總分級分,模3_班級排名,模3_類別排名,模3_跨校排名,模3_轉換統測分數,模4_國文分數,模4_國文級分,模4_英文分數,模4_英文級分,模4_數學分數,模4_數學級分,模4_專一分數,模4_專一級分,模4_專二分數,模4_專二級分,模4_總分數,模4_總分級分,模4_班級排名,模4_類別排名,模4_跨校排名,模4_轉換統測分數,模5_國文分數,模5_國文級分,模5_英文分數,模5_英文級分,模5_數學分數,模5_數學級分,模5_專一分數,模5_專一級分,模5_專二分數,模5_專二級分,模5_總分數,模5_總分級分,模5_班級排名,模5_類別排名,模5_跨校排名,模5_轉換統測分數,統測_國文分數,統測_國文級分,統測_英文分數,統測_英文級分,統測_數學B分數,統測_數學B級分,統測_專一分數,統測_專一級分,統測_專二分數,統測_專二級分,統測_總分數,統測_總分級分
112-商經332,112,133,32.0,09商業與管理群,84.0,14.0,49.75,8.0,52.0,8.0,96.0,15.0,76.0,12.0,357.75,57.0,585.0,,78.0,13.0,66.75,11.0,64.0,10.0,88.0,14.0,50.0,8.0,346.75,56.0,,,,518.0,76.0,13.0,55.5,9.0,40.0,7.0,86.0,13.0,66.0,10.0,323.5,52.0,,,,553.0,76.0,13.0,43.0,7.0,68.0,11.0,86.0,13.0,88.0,14.0,361.0,58.0,,,,575.0,70.0,12.0,50.0,8.0,76.0,12.0,86.0,13.0,80.0,13.0,362.0,58.0,,,,573.0,72.0,12.0,67.5,11.0,72.0,11.0,80.0,13.0,70.0,12.0,361.5,59.0
112-商經333,112,133,33.0,09商業與管理群,72.0,12.0,58.75,9.0,84.0,13.0,80.0,13.0,56.0,9.0,350.75,56.0,498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,10.0,34.5,6.0,44.0,7.0,50.0,8.0,46.0,7.0,230.5,38.0,,,,381.0,,,,,,,,,,,,,,,,,54.0,9.0,44.0,7.0,56.0,9.0,46.0,8.0,38.0,7.0,238.0,40.0
112-商經334,112,133,34.0,09商業與管理群,60.0,10.0,26.75,5.0,68.0,11.0,82.0,13.0,62.0,10.0,298.75,49.0,457.0,,78.0,13.0,44.25,7.0,64.0,10.0,88.0,14.0,68.0,11.0,342.25,55.0,,,,528.0,52.0,9.0,35.75,6.0,40.0,7.0,86.0,13.0,58.0,9.0,271.75,44.0,,,,471.0,70.0,12.0,50.0,8.0,48.0,8.0,62.0,10.0,66.0,10.0,296.0,48.0,,,,489.0,46.0,8.0,43.75,7.0,48.0,8.0,82.0,13.0,52.0,8.0,271.75,44.0,,,,471.0,62.0,10.0,53.0,8.0,60.0,10.0,76.0,12.0,62.0,10.0,313.0,50.0
112-商經335,112,133,35.0,09商業與管理群,70.0,12.0,46.75,8.0,84.0,13.0,80.0,13.0,66.0,10.0,346.75,56.0,501.0,,72.0,12.0,62.5,10.0,88.0,14.0,82.0,13.0,70.0,11.0,374.5,60.0,,,,532.0,60.0,11.0,50.25,8.0,48.0,8.0,84.0,13.0,58.0,9.0,300.25,49.0,,,,498.0,68.0,12.0,45.0,7.0,80.0,13.0,70.0,11.0,72.0,11.0,335.0,54.0,,,,509.0,60.0,10.0,62.25,10.0,60.0,10.0,74.0,12.0,60.0,10.0,316.25,52.0,,,,523.0,84.0,14.0,67.5,11.0,76.0,12.0,78.0,12.0,62.0,10.0,367.5,59.0
112-商經336,112,133,36.0,09商業與管理群,74.0,12.0,29.5,5.0,68.0,11.0,78.0,12.0,74.0,12.0,323.5,52.0,497.0,,62.0,10.0,37.25,6.0,64.0,10.0,82.0,13.0,72.0,11.0,317.25,50.0,,,,490.0,64.0,11.0,23.0,4.0,48.0,8.0,72.0,11.0,74.0,12.0,281.0,46.0,,,,486.0,64.0,11.0,29.5,5.0,76.0,12.0,74.0,12.0,76.0,12.0,319.5,52.0,,,,497.0,62.0,11.0,25.0,4.0,48.0,8.0,74.0,12.0,56.0,9.0,265.0,44.0,,,,470.0,62.0,10.0,35.5,6.0,76.0,12.0,66.0,11.0,66.0,11.0,305.5,50.0
112-商經401,112,134,1.0,09商業與管理群,74.0,12.0,52.5,8.0,76.0,12.0,76.0,12.0,68.0,11.0,346.5,55.0,513.0,,72.0,12.0,58.5,9.0,72.0,11.0,82.0,13.0,76.0,12.0,360.5,57.0,,,,537.0,56.0,10.0,75.0,12.0,72.0,11.0,70.0,11.0,72.0,11.0,345.0,55.0,,,,526.0,55.75,9.0,55.75,9.0,64.0,10.0,68.0,11.0,84.0,13.0,327.5,56.0,,,,546.0,58.0,10.0,65.0,10.0,56.0,9.0,82.0,13.0,80.0,13.0,341.0,55.0,,,,568.0,52.0,9.0,74.5,12.0,64.0,10.0,80.0,13.0,66.0,11.0,336.5,55.0
112-商經402,112,134,2.0,09商業與管理群,54.0,9.0,35.5,6.0,68.0,11.0,80.0,13.0,60.0,10.0,297.5,49.0,448.0,,64.0,11.0,45.75,7.0,80.0,13.0,76.0,12.0,54.0,9.0,319.75,52.0,,,,443.0,46.0,8.0,46.0,7.0,56.0,9.0,68.0,11.0,36.0,6.0,252.0,41.0,,,,386.0,40.25,7.0,40.25,7.0,52.0,8.0,78.0,12.0,64.0,10.0,274.5,47.0,,,,493.0,48.0,8.0,42.0,7.0,44.0,7.0,74.0,12.0,60.0,10.0,268.0,44.0,,,,474.0,44.0,7.0,49.5,8.0,72.0,11.0,60.0,10.0,56.0,9.0,281.5,45.0
112-商經403,112,134,3.0,09商業與管理群,,,,,,,,,,,,,,,68.0,11.0,68.5,11.0,92.0,14.0,88.0,14.0,98.0,15.0,414.5,65.0,,,,590.0,,,,,,,,,,,,,,,,,61.0,10.0,61.0,10.0,88.0,14.0,86.0,13.0,92.0,14.0,388.0,62.0,,,,592.0,66.0,11.0,67.75,11.0,72.0,11.0,82.0,13.0,90.0,14.0,377.75,60.0,,,,596.0,72.0,12.0,84.0,13.0,92.0,14.0,78.0,12.0,74.0,12.0,400.0,63.0
112-商經404,112,134,4.0,09商業與管理群,72.0,12.0,71.75,11.0,80.0,13.0,94.0,15.0,92.0,14.0,409.75,65.0,619.0,,66.0,11.0,84.25,13.0,88.0,14.0,92.0,14.0,84.0,13.0,414.25,65.0,,,,600.0,74.0,13.0,83.0,13.0,44.0,7.0,92.0,14.0,88.0,14.0,381.0,61.0,,,,623.0,75.25,12.0,75.25,12.0,88.0,14.0,94.0,15.0,94.0,15.0,426.5,68.0,,,,629.0,64.0,11.0,93.0,14.0,48.0,8.0,90.0,14.0,90.0,14.0,385.0,61.0,,,,631.0,78.0,13.0,96.5,15.0,88.0,14.0,98.0,15.0,82.0,14.0,442.5,71.0
112-商經405,112,134,5.0,09商業與管理群,88.0,15.0,52.75,8.0,48.0,8.0,84.0,13.0,72.0,11.0,344.75,55.0,560.0,,78.0,13.0,75.25,12.0,56.0,9.0,88.0,14.0,68.0,11.0,365.25,59.0,,,,572.0,86.0,15.0,65.0,10.0,28.0,5.0,84.0,13.0,62.0,10.0,325.0,53.0,,,,566.0,62.25,10.0,62.25,10.0,72.0,11.0,86.0,13.0,84.0,13.0,366.5,61.0,,,,602.0,74.0,13.0,69.0,11.0,48.0,8.0,88.0,14.0,74.0,12.0,353.0,58.0,,,,598.0,80.0,13.0,76.5,12.0,52.0,8.0,76.0,12.0,58.0,10.0,342.5,55.0
112-商經406,112,134,6.0,09商業與管理群,76.0,13.0,55.25,9.0,68.0,11.0,78.0,12.0,82.0,13.0,359.25,58.0,552.0,,72.0,12.0,71.5,11.0,72.0,11.0,94.0,15.0,82.0,13.0,391.5,62.0,,,,598.0,62.0,11.0,70.0,11.0,68.0,11.0,74.0,12.0,76.0,12.0,350.0,57.0,,,,543.0,55.0,9.0,55.0,9.0,,,,,80.0,13.0,,34.0,,,,405.0,68.0,12.0,71.75,11.0,68.0,11.0,64.0,10.0,52.0,8.0,323.75,52.0,,,,505.0,74.0,12.0,77.0,12.0,80.0,13.0,78.0,12.0,66.0,11.0,375.0,60.0
