student_id,畢業年度,班級_標準,錄取管道,錄取管道_原始,錄取學校,學校類型,錄取科系,科系分類,錄取身分,二階結果,資料來源
,112,,統測分發,科大登分,國立屏東科技大學,國立科大,資訊管理系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立臺灣體育運動大學,國立大學,運動事業管理學系,商管類,,,總榜單
,112,,統測分發,科大登分,國立屏東科技大學,國立科大,工業管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北商業大學,國立大學,財務金融系,商管類,,,總榜單
,112,,獨立招生,獨立招生,萬能科技大學,私立科大,餐飲管理系,商管類,,,總榜單
,112,,獨立招生,獨立招生,國立臺中科技大學,國立科大,資訊管理系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立屏東大學,國立大學,會計學系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北商業大學,國立大學,資訊管理系,資訊類,,,總榜單
,112,,統測分發,科大登分,致理科技大學,私立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北商業大學,國立大學,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,朝陽科技大學,私立科大,休閒事業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,企業管理系（臺北校區）,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,財政稅務系（臺北校區）,商管類,,,總榜單
,112,,統測分發,科大登分,健行科技大學,私立科大,企業管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立勤益科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,統測分發,科大登分,國立高雄科技大學,國立科大,航運管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,中原大學,私立大學,會計學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,保險金融管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北商業大學,國立大學,會計資訊系（臺北校區）,資訊類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立勤益科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,人力資源發展系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立虎尾科技大學,國立科大,工業管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,財務金融系,商管類,,,總榜單
,112,,獨立招生,獨立招生,國立臺北商業大學,國立大學,數位媒體設計系,設計類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,保險金融管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立臺北科技大學,國立科大,資訊與財金管理系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立屏東科技大學,國立科大,應用外語系,語文類,,,總榜單
,112,,統測分發,科大登分,致理科技大學,私立科大,財務金融系,商管類,,,總榜單
,112,,獨立招生,獨立招生,致理科技大學,私立科大,財務金融系,商管類,,,總榜單
,112,,統測分發,科大登分,健行科技大學,私立科大,財務金融系投資理財組,商管類,,,總榜單
,112,,統測分發,科大登分,國立勤益科技大學,國立科大,資訊管理系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,應用日語系,語文類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,應用統計系,商管類,,,總榜單
,112,,統測分發,科大登分,國立雲林科技大學,國立科大,工業工程與管理系,工程類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,財政稅務系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,保險金融管理系,商管類,,,總榜單
,112,,統測分發,科大登分,國立澎湖科技大學,國立科大,觀光休閒系,餐旅觀光類,,,總榜單
,112,,統測分發,科大登分,國立高雄餐旅大學,國立大學,休閒暨遊憩管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,資訊管理系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立臺北商業大學,國立大學,會計資訊系,資訊類,,,總榜單
,112,,統測分發,科大登分,國立臺中科技大學,國立科大,保險金融管理系,商管類,,,總榜單
,112,,獨立招生,獨立招生,國立臺北商業大學,國立大學,空中進修學院企管科,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北科技大學,國立科大,資訊與財金管理系,資訊類,,,總榜單
,112,,科大甄選,科大甄選,國立高雄科技大學,國立科大,供應鏈管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺中科技大學,國立科大,休閒事業經營系,餐旅觀光類,,,總榜單
,112,,科大甄選,科大甄選,逢甲大學,私立大學,財稅學系,商管類,,,總榜單
,112,,統測分發,科大登分,國立宜蘭大學,國立大學,應用經濟與管理學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,逢甲大學,私立大學,國際經營與貿易學系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺北科技大學,國立科大,經營管理系,商管類,,,總榜單
,112,,科大甄選,科大甄選,國立臺灣科技大學,國立科大,企業管理系,商管類,,,總榜單
,112,,獨立招生,獨立招生,實踐大學,私立大學,時尚設計學系,設計類,,,總榜單
,112,,統測分發,科大登分,明新科技大學,私立科大,財務金融系智慧理財組,商管類,,,總榜單
