年度,招生群類別,志願代碼,權重組別,學校名稱,系科組學程名稱,各科目加權,招生名額,錄取人數,錄取總分數,同分參酌分數,學校類型,科系分類
112,09商業與管理群,09001,I49,國立臺灣科技大學,工業管理系,國文*1.00 + 英文*1.50 + 數學*1.50 + 專業(一)*2.00 + 專業(二)*3.00,6,6,759.88,,國立科大,商管類
112,09商業與管理群,09002,I54,國立臺灣科技大學,企業管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,13,13,564.5,,國立科大,商管類
112,09商業與管理群,09003,I54,國立臺灣科技大學,資訊管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,11,11,583.75,,國立科大,資訊類
112,09商業與管理群,09004,I47,國立臺灣科技大學,應用外語系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,3,3,715.0,,國立科大,語文類
112,09商業與管理群,09005,I54,國立雲林科技大學,工業工程與管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,20,20,508.0,,國立科大,工程類
112,09商業與管理群,09006,I30,國立雲林科技大學,企業管理系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,12,12,661.0,,國立科大,商管類
112,09商業與管理群,09007,I3,國立雲林科技大學,資訊管理系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,7,7,869.0,,國立科大,資訊類
112,09商業與管理群,09008,I3,國立雲林科技大學,財務金融系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,10,10,836.0,,國立科大,商管類
112,09商業與管理群,09009,I4,國立雲林科技大學,會計系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,8,8,749.5,,國立科大,商管類
112,09商業與管理群,09010,I30,國立雲林科技大學,國際管理學士學位學程,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,3,3,671.0,76.0,國立科大,商管類
112,09商業與管理群,09011,I1,國立雲林科技大學,應用外語系,國文*2.00 + 英文*2.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,6,6,796.0,,國立科大,語文類
112,09商業與管理群,09012,I54,國立雲林科技大學,文化資產維護系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,4,4,470.5,,國立科大,藝術人文類
112,09商業與管理群,09013,I25,國立屏東科技大學,資訊管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*2.00,41,41,459.0,,國立科大,資訊類
112,09商業與管理群,09014,I21,國立屏東科技大學,工業管理系,國文*1.25 + 英文*1.25 + 數學*1.25 + 專業(一)*3.00 + 專業(二)*2.00,53,53,472.25,62.0,國立科大,商管類
112,09商業與管理群,09015,I42,國立屏東科技大學,企業管理系,國文*1.00 + 英文*1.50 + 數學*1.50 + 專業(一)*2.25 + 專業(二)*2.75,62,62,484.25,,國立科大,商管類
112,09商業與管理群,09016,I30,國立屏東科技大學,財務金融國際學士學位學程,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,5,5,548.0,70.0,國立科大,商管類
112,09商業與管理群,09017,I54,國立屏東科技大學,社會工作系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,11,11,376.75,,國立科大,社會法政類
112,09商業與管理群,09018,I54,國立屏東科技大學,休閒運動健康系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,6,6,388.5,,國立科大,餐旅觀光類
112,09商業與管理群,09019,I30,國立屏東科技大學,應用外語系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,9,9,505.0,,國立科大,語文類
112,09商業與管理群,09020,I32,國立臺北科技大學,工業工程與管理系,國文*1.00 + 英文*1.50 + 數學*1.50 + 專業(一)*2.50 + 專業(二)*2.50,10,10,720.5,,國立科大,工程類
112,09商業與管理群,09021,I3,國立臺北科技大學,經營管理系,國文*1.00 + 英文*2.00 + 數學*2.00 + 專業(一)*3.00 + 專業(二)*3.00,12,12,868.5,,國立科大,商管類
112,09商業與管理群,09022,I16,國立臺北科技大學,資訊與財金管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*3.00 + 專業(二)*3.00,11,11,744.5,,國立科大,資訊類
112,09商業與管理群,09023,I30,國立臺北科技大學,文化事業發展系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.50 + 專業(二)*2.50,7,7,679.0,,國立科大,其他
112,09商業與管理群,09024,I54,國立高雄科技大學,工業工程與管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*2.00,17,17,460.25,,國立科大,工程類
112,09商業與管理群,09025,I47,國立高雄科技大學,國際企業系,國文*1.00 + 英文*2.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,12,12,600.0,72.0,國立科大,商管類
112,09商業與管理群,09026,I50,國立高雄科技大學,企業管理系,國文*1.00 + 英文*1.00 + 數學*1.00 + 專業(一)*2.00 + 專業(二)*3.00,31,31,508.5,70.0,國立科大,商管類
